quarter_year,group,severity,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2022 Q2,Bradford,1,4,1,4,2.25,177.77777777777777
2022 Q2,Bradford,2,71,1,71,39.75,178.61635220125785
2022 Q2,Bradford,3,259,1,259,236.75,109.39809926082366
2022 Q2,Bradford's matched-control LADs,1,62,34,1.8235294117647058,1.9998290982555342,91.18426236298812
2022 Q2,Bradford's matched-control LADs,2,1285,58,22.155172413793103,20.573275862068964,107.68908443327048
2022 Q2,Bradford's matched-control LADs,3,5460,58,94.13793103448276,112.68103448275862,83.54372274500803
2022 Q3,Bradford,1,6,1,6,2.25,266.6666666666667
2022 Q3,Bradford,2,73,1,73,39.75,183.64779874213838
2022 Q3,Bradford,3,275,1,275,236.75,116.15628299894404
2022 Q3,Bradford's matched-control LADs,1,70,33,2.121212121212121,1.9998290982555342,106.06966980640847
2022 Q3,Bradford's matched-control LADs,2,1336,58,23.03448275862069,20.573275862068964,111.96312591661429
2022 Q3,Bradford's matched-control LADs,3,5614,58,96.79310344827586,112.68103448275862,85.90008415576466
2022 Q4,Bradford,1,2,1,2,2.25,88.88888888888889
2022 Q4,Bradford,2,69,1,69,39.75,173.58490566037736
2022 Q4,Bradford,3,333,1,333,236.75,140.6546990496304
2022 Q4,Bradford's matched-control LADs,1,76,38,2,1.9998290982555342,100.00854581747085
2022 Q4,Bradford's matched-control LADs,2,1306,58,22.517241379310345,20.573275862068964,109.44898386758852
2022 Q4,Bradford's matched-control LADs,3,5869,58,101.1896551724138,112.68103448275862,89.80185142682274
2023 Q1,Bradford,1,3,1,3,2.25,133.33333333333334
2023 Q1,Bradford,2,89,1,89,39.75,223.8993710691824
2023 Q1,Bradford,3,227,1,227,236.75,95.8817317845829
2023 Q1,Bradford's matched-control LADs,1,64,34,1.8823529411764706,1.9998290982555342,94.12569018114903
2023 Q1,Bradford's matched-control LADs,2,1160,58,20,20.573275862068964,97.21349256232978
2023 Q1,Bradford's matched-control LADs,3,5240,58,90.34482758620689,112.68103448275862,80.17749215821283
2023 Q2,Bradford,1,1,1,1,2.25,44.44444444444444
2023 Q2,Bradford,2,104,1,104,39.75,261.6352201257862
