scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Bath,2020 Q3,Matched controls,193,0.035739948186528495,6.89781,2021 Q2,Pre implementation
Bath,2020 Q4,CAZ roads,191,0.01979759162303665,3.78134,2021 Q2,Pre implementation
Bath,2020 Q4,Matched controls,193,0.029475233160621762,5.68872,2021 Q2,Pre implementation
Bath,2021 Q1,CAZ roads,191,0.005235602094240838,1,2021 Q2,Pre implementation
Bath,2021 Q1,Matched controls,193,0.03626943005181347,7,2021 Q2,Pre implementation
Bath,2021 Q2,CAZ roads,191,0.0048922513089005235,0.93442,2021 Q2,Implementation quarter
Bath,2021 Q2,Matched controls,193,0.02072538860103627,4,2021 Q2,Implementation quarter
Bath,2021 Q3,CAZ roads,191,0.06318518324607329,12.06837,2021 Q2,Post implementation
Bath,2021 Q3,Matched controls,193,0.05181347150259067,10,2021 Q2,Post implementation
Bath,2021 Q4,CAZ roads,191,0.03972801047120419,7.58805,2021 Q2,Post implementation
Bath,2021 Q4,Matched controls,193,0.03603818652849741,6.95537,2021 Q2,Post implementation
Bath,2022 Q1,CAZ roads,191,0.0589579057591623,11.26096,2021 Q2,Post implementation
Bath,2022 Q1,Matched controls,193,0.030947927461139897,5.97295,2021 Q2,Post implementation
Bath,2022 Q2,CAZ roads,191,0.019493821989528797,3.72332,2021 Q2,Post implementation
Bath,2022 Q2,Matched controls,193,0.03936248704663212,7.59696,2021 Q2,Post implementation
Bath,2022 Q3,CAZ roads,191,0.02458151832460733,4.69507,2021 Q2,Post implementation
Bath,2022 Q3,Matched controls,193,0.025906735751295335,5,2021 Q2,Post implementation
Bath,2022 Q4,CAZ roads,191,0.015278848167539267,2.91826,2021 Q2,Post implementation
Bath,2022 Q4,Matched controls,193,0.015139326424870467,2.92189,2021 Q2,Post implementation
Bath,2023 Q1,CAZ roads,191,0.009552774869109947,1.82458,2021 Q2,Post implementation
Bath,2023 Q1,Matched controls,193,0.024963471502590675,4.81795,2021 Q2,Post implementation
Bath,2023 Q2,CAZ roads,191,0,0,2021 Q2,Post implementation
Bath,2023 Q2,Matched controls,193,0.015348290155440415,2.9622200000000003,2021 Q2,Post implementation
Bath,2023 Q3,CAZ roads,191,0.02885649214659686,5.51159,2021 Q2,Post implementation
Bath,2023 Q3,Matched controls,193,0.061414559585492225,11.85301,2021 Q2,Post implementation
Bath,2023 Q4,CAZ roads,191,0.009701465968586388,1.85298,2021 Q2,Post implementation
Bath,2023 Q4,Matched controls,193,0.03551,6.85343,2021 Q2,Post implementation
Bath,2024 Q1,CAZ roads,191,0.01553062827225131,2.9663500000000003,2021 Q2,Post implementation
Bath,2024 Q1,Matched controls,193,0.04335419689119171,8.36736,2021 Q2,Post implementation
Bath,2024 Q2,CAZ roads,191,0.029381151832460733,5.6118,2021 Q2,Post implementation
Bath,2024 Q2,Matched controls,193,0.061097046632124355,11.79173,2021 Q2,Post implementation
Bath,2024 Q3,CAZ roads,191,0.06455439790575916,12.32989,2021 Q2,Post implementation
Bath,2024 Q3,Matched controls,193,0.0356339378238342,6.87735,2021 Q2,Post implementation
Bath,2024 Q4,CAZ roads,191,0.009705811518324607,1.85381,2021 Q2,Post implementation
Bath,2024 Q4,Matched controls,193,0.010362694300518135,2,2021 Q2,Post implementation
Birmingham,2015 Q1,CAZ roads,1239,0.09808274414850686,121.52452,2021 Q3,Pre implementation
Birmingham,2015 Q1,Matched controls,1970,0.07354411167512691,144.8819,2021 Q3,Pre implementation
Birmingham,2015 Q2,CAZ roads,1239,0.0763821549636804,94.63749,2021 Q3,Pre implementation
Birmingham,2015 Q2,Matched controls,1970,0.08426440101522843,166.00087,2021 Q3,Pre implementation
Birmingham,2015 Q3,CAZ roads,1239,0.09565029055690073,118.51071,2021 Q3,Pre implementation
Birmingham,2015 Q3,Matched controls,1970,0.07078196954314721,139.44048,2021 Q3,Pre implementation
Birmingham,2015 Q4,CAZ roads,1239,0.08303974979822437,102.88625,2021 Q3,Pre implementation
Birmingham,2015 Q4,Matched controls,1970,0.09288176142131979,182.97707,2021 Q3,Pre implementation
Birmingham,2016 Q1,CAZ roads,1239,0.09120258272800645,113,2021 Q3,Pre implementation
Birmingham,2016 Q1,Matched controls,1970,0.0701514923857868,138.19844,2021 Q3,Pre implementation
Birmingham,2016 Q2,CAZ roads,1239,0.08151735270379339,101,2021 Q3,Pre implementation
Birmingham,2016 Q2,Matched controls,1970,0.07191834010152284,141.67913,2021 Q3,Pre implementation
Birmingham,2016 Q3,CAZ roads,1239,0.08797417271993543,109,2021 Q3,Pre implementation
Birmingham,2016 Q3,Matched controls,1970,0.09282197969543148,182.8593,2021 Q3,Pre implementation
Birmingham,2016 Q4,CAZ roads,1239,0.0847457627118644,105,2021 Q3,Pre implementation
Birmingham,2016 Q4,Matched controls,1970,0.08830489847715736,173.96065,2021 Q3,Pre implementation
Birmingham,2017 Q1,CAZ roads,1239,0.06376109765940274,79,2021 Q3,Pre implementation
Birmingham,2017 Q1,Matched controls,1970,0.09722975634517766,191.54262,2021 Q3,Pre implementation
Birmingham,2017 Q2,CAZ roads,1239,0.09846650524616626,122,2021 Q3,Pre implementation
Birmingham,2017 Q2,Matched controls,1970,0.07230036040609138,142.43171,2021 Q3,Pre implementation
Birmingham,2017 Q3,CAZ roads,1239,0.07263922518159806,90,2021 Q3,Pre implementation
Birmingham,2017 Q3,Matched controls,1970,0.08913523350253807,175.59641,2021 Q3,Pre implementation
Birmingham,2017 Q4,CAZ roads,1239,0.09765940274414851,121,2021 Q3,Pre implementation
Birmingham,2017 Q4,Matched controls,1970,0.08787913705583757,173.1219,2021 Q3,Pre implementation
Birmingham,2018 Q1,CAZ roads,1239,0.08555286521388217,106,2021 Q3,Pre implementation
